experiment,eta,s,train,train_sd,test,test_sd,d_train,t_train,d_test,t_test,U,proj,nonfinite
titanic_lp,3e-05,0.25,0.8050983146067416,0.008823960842515528,0.8058659217877094,0.011544395048117386,0.00035112359550561466,0.7463618714899855,0.0009497206703910611,1.1102469605001093,371.9364642257036,0.03631,0
titanic_lp,3e-05,1,0.80563202247191,0.00872869715192068,0.8051955307262568,0.01236912538130548,0.0008848314606741526,1.359072910151788,0.00027932960893854665,0.2516738589643115,371.5881978473137,0.03916,0
titanic_lp,3e-05,2,0.8048033707865168,0.008415088288318188,0.8051396648044693,0.012153796972184766,5.617977528089679e-05,0.07283570407292014,0.00022346368715083553,0.18559839463706929,371.54684009476887,0.040655,0
titanic_lp,3e-05,5,0.8052387640449439,0.008401047322972534,0.8055307262569833,0.01374624620779186,0.0004915730337078694,0.5136416108108292,0.0006145251396647966,0.4254516205523969,372.31165046621544,0.04359,0
titanic_lp,1e-05,reversible,0.7822612359550563,0.018525967155714952,0.7920670391061452,0.022142003260237263,0.0,0.0,0.0,0.0,390.71164781663737,0.0,0
titanic_lp,1e-05,0,0.7822612359550563,0.018525967155714952,0.7920670391061452,0.022142003260237263,0.0,0.0,0.0,0.0,390.71164781663737,0.0,0
titanic_lp,1e-05,0.25,0.7827528089887642,0.018456383905326796,0.7927932960893854,0.022333597727576992,0.0004915730337078661,0.6849776002149347,0.0007262569832402277,0.5970779671248472,391.1413967587024,0.0,0
titanic_lp,1e-05,1,0.7878089887640449,0.016107590572220245,0.8003351955307262,0.01978141039089683,0.005547752808988757,4.217800603153329,0.00826815642458101,4.183604967757812,390.4809369007478,0.0,0
titanic_lp,1e-05,2,0.7897331460674158,0.015087688904697602,0.7996648044692738,0.01684458350588938,0.007471910112359541,3.9280244040257437,0.007597765363128497,3.6465588582140818,387.9423708264296,0.0,0
titanic_lp,1e-05,5,0.7902949438202248,0.016065495683600436,0.8003351955307262,0.017570088310091214,0.008033707865168535,4.403533508998423,0.008268156424581013,3.6263878610921214,386.9841681887549,0.0,0
titanic_lp,3e-06,reversible,0.71061797752809,0.037710809552611885,0.714804469273743,0.04508864064358753,0.0,0.0,0.0,0.0,433.9058370303701,0.0,0
titanic_lp,3e-06,0,0.71061797752809,0.037710809552611885,0.714804469273743,0.04508864064358753,0.0,0.0,0.0,0.0,433.9058370303701,0.0,0
titanic_lp,3e-06,0.25,0.7100280898876405,0.03572048570104461,0.7149162011173184,0.04474529244497774,-0.0005898876404494369,-0.5446825701228036,0.00011173184357541554,0.08057436936534136,434.10070681950907,0.0,0
titanic_lp,3e-06,1,0.7088483146067415,0.033920880950152166,0.7140782122905027,0.04167314696905024,-0.001769662921348315,-0.6580023010017195,-0.0007262569832402233,-0.20148527303323566,434.4517454377834,0.0,0
titanic_lp,3e-06,2,0.7075421348314608,0.0325665160239217,0.7175977653631285,0.040491359697244704,-0.0030758426966292175,-0.8836420788436711,0.0027932960893854806,0.5574356135706056,434.54350578441836,0.0,0
titanic_lp,3e-06,5,0.7177668539325842,0.03452688304574812,0.7279329608938547,0.042230134156469194,0.007148876404494388,1.8417385732721567,0.01312849162011173,2.763933159455591,431.5397747752632,0.0,0
titanic_lp,1e-06,reversible,0.6224157303370786,0.0736265259630744,0.6341340782122904,0.0855745324996631,0.0,0.0,0.0,0.0,484.9207417197699,0.0,0
titanic_lp,1e-06,0,0.6224157303370786,0.0736265259630744,0.6341340782122904,0.0855745324996631,0.0,0.0,0.0,0.0,484.9207417197699,0.0,0
titanic_lp,1e-06,0.25,0.6226544943820225,0.07514354660733384,0.6332402234636871,0.08403508647695826,0.00023876404494382775,0.2759925553336321,-0.0008938547486033515,-0.8194333177703654,485.00149261352607,0.0,0
titanic_lp,1e-06,1,0.6220926966292134,0.07457372487835924,0.6320111731843576,0.08103002303099993,-0.00032303370786516516,-0.17141403559889826,-0.002122905027932964,-0.8181733042965711,485.19756646299845,0.0,0
titanic_lp,1e-06,2,0.6202387640449438,0.07138634495522422,0.629608938547486,0.0767906295364271,-0.00217696629213483,-0.7718609521912804,-0.004525139664804469,-1.1511793378543493,485.20441984585887,0.0,0
titanic_lp,1e-06,5,0.6202387640449438,0.062053840669340006,0.6324581005586594,0.06788165219828628,-0.00217696629213483,-0.5620396409215175,-0.001675977653631287,-0.3019120652452717,485.80914602316074,0.0,0
