experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_lp,magic,lp,1e-05,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.5547357518401682,0.5623133543638276,0.08244549746866366,0.5610199789695058,0.07936876167946585,-0.2256328075709779,0.0058057110534186,-0.21277602523659303,0.015931474169667396,15756.73843075958,0.92044,0
magic_lp,magic,lp,1e-05,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.5335015772870662,0.5083675078864354,0.0703692609709695,0.5091272344900105,0.0631793916706923,-0.24686698212407998,0.003726415833065682,-0.2646687697160883,0.012678742213207948,18164.972772073288,0.95312,0
magic_lp,magic,lp,1e-05,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.5195154574132492,0.50897476340694,0.10003280826237829,0.5072344900105153,0.09611768110245045,-0.2608531019978969,0.003866491057070406,-0.26656151419558355,0.019165366037951236,17482.97804206013,0.9746,0
magic_lp,magic,lp,1e-05,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.6581357518401681,0.6599079915878023,0.06993419784028351,0.6557518401682441,0.07232159812595006,-0.12223280757097793,0.009356956665339205,-0.11804416403785485,0.014354928979182089,10161.861866843909,0.74936,0
magic_lp,magic,lp,1e-05,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7775737118822292,0.7775368033648791,0.00487176848709434,0.7704206098843323,0.005292405976903934,-0.0027948475289169394,0.000285338827111363,-0.0033753943217665404,0.0009392476297135236,7452.1064974215005,0.13516,0
magic_lp,magic,lp,3e-06,reversible (no J),,reversible,0.7796594111461619,0.7799579390115667,0.0019174376922024249,0.7739957939011568,0.0023482416985116383,0.0,0.0,0.0,0.0,7449.728707234981,0.0,0
magic_lp,magic,lp,3e-06,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7796594111461619,0.7799579390115667,0.0019174376922024249,0.7739957939011568,0.0023482416985116383,0.0,0.0,0.0,0.0,7449.728707234981,0.0,0
magic_lp,magic,lp,3e-06,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7796568874868559,0.779968454258675,0.001906171794462823,0.7740483701366982,0.002408293863051828,-2.5236593059529965e-06,1.4061464803916326e-05,5.257623554153046e-05,7.739012325909525e-05,7449.691062165732,0.0,0
magic_lp,magic,lp,3e-06,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7796767613038906,0.779971083070452,0.0019439843874479803,0.7741114616193481,0.002364128690311618,1.735015772869275e-05,3.7898373883480276e-05,0.00011566771819137234,9.365852937881219e-05,7449.628142011514,0.0,0
magic_lp,magic,lp,3e-06,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7797114616193481,0.7799894847528916,0.0019405783366631955,0.7742271293375395,0.002629556501592589,5.205047318617595e-05,6.765314058317472e-05,0.00023133543638276244,0.0001854632453228314,7449.512624446499,0.0,0
magic_lp,magic,lp,3e-06,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7797783385909569,0.7800867507886434,0.002080162386508183,0.7741114616193481,0.002746154306180941,0.00011892744479501172,0.00015998325023827044,0.00011566771819138122,0.0002974470806759304,7449.291250943671,0.0,0
magic_lp,magic,lp,3e-06,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7797863301787592,0.7799710830704523,0.0023468740758167453,0.7747949526813879,0.0038596113884822414,0.00012691903259731685,0.0002667742109968928,0.0007991587802313526,0.0006216236654170113,7450.968953672291,0.0,0
magic_lp,magic,lp,3e-06,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7794154574132491,0.7790720294426918,0.002956249527633315,0.7747739221871714,0.004272176371592751,-0.00024395373291266953,0.0004131637772909843,0.0007781282860147387,0.0008998936352070223,7462.402939176795,0.0,0
magic_lp,magic,lp,3e-06,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7761617245005258,0.7746976866456363,0.006154095299656822,0.770336487907466,0.0071333539407367474,-0.0034976866456361356,0.0005849261000562719,-0.003659305993690838,0.0014388928795577177,7520.0520099907335,0.0,0
