stage,exp,init,arm,eta,s,train,test,proj,nbad,d_train,t_train
search,titanic_ball,ball_uniform,nrev,3e-06,u5,0.6878072331460674,0.690467877094972,0.0,0,0.0005705758426966315,0.08964251999559789
search,titanic_ball,ball_uniform,nrev,3e-06,b2_5,0.7007110252808988,0.7107192737430168,0.0,0,0.013474367977528101,1.9809217955123606
search,titanic_ball,ball_uniform,nrev,3e-06,gn1,0.6871927668539326,0.6913407821229051,0.0,0,-4.389044943819975e-05,-0.020061833967520364
search,titanic_ball,ball_uniform,nrev,3e-06,gn5,0.6884655898876404,0.6936103351955307,0.0,0,0.0012289325842696694,0.17816206043514957
search,titanic_ball,ball_uniform,rev,1e-05,-,0.760402036516854,0.7665851955307263,0.002958333333333333,0,,
search,titanic_ball,ball_uniform,nrev,1e-05,u0.25,0.7594803370786518,0.7641410614525139,0.0030208333333333333,0,-0.000921699438202226,-0.9976674652979887
search,titanic_ball,ball_uniform,nrev,1e-05,u1,0.7644399578651686,0.7704259776536313,0.0028333333333333335,0,0.004037921348314603,1.365186622878287
search,titanic_ball,ball_uniform,nrev,1e-05,u2,0.7711551966292136,0.7768854748603351,0.0025208333333333333,0,0.010753160112359553,2.6683011795675604
search,titanic_ball,ball_uniform,nrev,1e-05,u5,0.7773876404494382,0.7857891061452514,0.0032083333333333334,0,0.016985603932584272,3.7274345982887502
search,titanic_ball,ball_uniform,nrev,1e-05,b2_5,0.7784849016853933,0.7871857541899441,0.004520833333333333,0,0.01808286516853932,4.24311162679468
search,titanic_ball,ball_uniform,nrev,1e-05,gn1,0.7642205056179776,0.7683310055865922,0.0030416666666666665,0,0.0038184691011235936,1.257839217779815
search,titanic_ball,ball_uniform,nrev,1e-05,gn5,0.7774754213483146,0.7871857541899442,0.0032083333333333334,0,0.017073384831460668,3.872308983804843
search,titanic_ball,ball_uniform,rev,3e-05,-,0.7984989466292135,0.8100558659217877,0.09135416666666667,0,,
search,titanic_ball,ball_uniform,nrev,3e-05,u0.25,0.7984550561797753,0.8095321229050279,0.093,0,-4.389044943820322e-05,-0.08804509063256445
search,titanic_ball,ball_uniform,nrev,3e-05,u1,0.7989378511235955,0.808659217877095,0.09952083333333334,0,0.00043890449438201834,0.402196017386526
search,titanic_ball,ball_uniform,nrev,3e-05,u2,0.8008251404494382,0.8072625698324023,0.103625,0,0.002326193820224722,1.516523713976201
search,titanic_ball,ball_uniform,nrev,3e-05,u5,0.7992889747191011,0.8056913407821229,0.10858333333333334,0,0.0007900280898876372,0.3831662145976861
